Stock,ds,daily_mae,daily_rmse,daily_mape
AAPL,2023-09-21,1.1652735253837818,1.1652735253837818,0.6699669835299427
AAPL,2023-09-22,2.867167482943813,2.867167482943813,1.6403499016389538
AAPL,2023-09-25,3.1691519467427156,3.1691519467427156,1.7998363890201767
AAPL,2023-09-26,2.2495213563112486,2.2495213563112486,1.3081654271241911
AAPL,2023-09-27,2.2657858043987176,2.2657858043987176,1.3294525035326685
AAPL,2023-09-28,0.576406231069484,0.576406231069484,0.3376918523786127
AAPL,2023-09-29,0.554680957795199,0.554680957795199,0.32397694997010507
AAPL,2023-10-02,0.6664815090386469,0.6664815090386469,0.3835864800222428
AAPL,2023-10-03,2.012756874059761,2.012756874059761,1.1674924276785636
AAPL,2023-10-04,0.6376007916453261,0.6376007916453261,0.3671546574914897
AAPL,2023-10-05,0.30198658858626004,0.30198658858626004,0.1726525540355238
AAPL,2023-10-06,2.4522565343630163,2.4522565343630163,1.3816307727014316
AAPL,2023-10-09,2.7099551802134556,2.7099551802134556,1.5140259774543408
AAPL,2023-10-10,0.43433245634503237,0.43433245634503237,0.24347354550763883
AAPL,2023-10-11,0.3726451554385335,0.3726451554385335,0.20725536658153595
AAPL,2023-10-12,0.0702733968248026,0.0702733968248026,0.03888738543188268
AAPL,2023-10-13,0.44356282630039345,0.44356282630039345,0.24800828133249608
AAPL,2023-10-16,2.5647791288277517,2.5647791288277517,1.435082313848286
AAPL,2023-10-17,4.1115608299729445,4.1115608299729445,2.320948897336959
AAPL,2023-10-18,3.1520604504785297,3.1520604504785297,1.792573086967992
AAPL,2023-10-19,2.274323661520242,2.274323661520242,1.2962063002933277
AAPL,2023-10-20,1.3930877809831657,1.3930877809831657,0.8058119745701515
AAPL,2023-10-23,0.8791974210072624,0.8791974210072624,0.508206601738302
AAPL,2023-10-24,0.42726923550509355,0.42726923550509355,0.24634987862701352
AAPL,2023-10-25,0.6076416146153178,0.6076416146153178,0.35513827758001026
AAPL,2023-10-26,0.597388700192937,0.597388700192937,0.3579535636513345
AAPL,2023-10-27,3.8273654641275243,3.8273654641275243,2.2752142648638167
AAPL,2023-10-30,2.8106535317553494,2.8106535317553494,1.650510096052854
AAPL,2023-10-31,2.817846078695851,2.817846078695851,1.6500825719955012
AAPL,2023-11-01,3.901477840833394,3.901477840833394,2.2426152862319473
AAPL,2023-11-02,2.6390439468588056,2.6390439468588056,1.4861991541399608
AAPL,2023-11-03,0.3902738403988337,0.3902738403988337,0.22093057111993528
AAPL,2023-11-06,1.846220128324802,1.846220128324802,1.0300843454414736
AAPL,2023-11-07,1.1010069087661236,1.1010069087661236,0.6055477199507666
AAPL,2023-11-08,0.6064170639385225,0.6064170639385225,0.3315747531096802
AAPL,2023-11-09,1.1617064251794034,1.1617064251794034,0.636865523741402
AAPL,2023-11-10,2.1212380351174147,2.1212380351174147,1.1380032749869218
AAPL,2023-11-13,0.18297883310182783,0.18297883310182783,0.09901451844163665
AAPL,2023-11-14,1.3453698880624074,1.3453698880624074,0.7177602809106718
AAPL,2023-11-15,2.8200238338268946,2.8200238338268946,1.499932937727074
AAPL,2023-11-16,1.4276119142955395,1.4276119142955395,0.752523253266632
AAPL,2023-11-17,2.519811315336341,2.519811315336341,1.3283838277743134
AAPL,2023-11-20,1.0264267563623548,1.0264267563623548,0.5361330753323781
AAPL,2023-11-21,2.236896051257588,2.236896051257588,1.17336133991776
AAPL,2023-11-22,0.9923884613572227,0.9923884613572227,0.5187331943032812
AAPL,2023-11-24,3.0569884916529872,3.0569884916529872,1.6091953845393951
AAPL,2023-11-27,2.2076268643217247,2.2076268643217247,1.1631945531466685
AAPL,2023-11-28,1.7196807980745064,1.7196807980745064,0.9031937254207334
AAPL,2023-11-29,2.143082279564595,2.143082279564595,1.1316905184680368
AAPL,2023-11-30,2.1955826604377364,2.1955826604377364,1.1558740172214856
AAPL,2023-12-01,0.5719473242909032,0.5719473242909032,0.29907305368245646
AAPL,2023-12-04,3.118584524905401,3.118584524905401,1.6462992374407213
AAPL,2023-12-05,0.47260218054657344,0.47260218054657344,0.24433987437729818
AAPL,2023-12-06,1.7136996107965956,1.7136996107965956,0.8910667354060517
AAPL,2023-12-07,0.6518111302059708,0.6518111302059708,0.3355181530195546
AAPL,2023-12-08,0.26843256082821654,0.26843256082821654,0.1371583218126764
AAPL,2023-12-11,0.40595795011810765,0.40595795011810765,0.21014492468660403
AAPL,2023-12-12,0.6137652236708391,0.6137652236708391,0.3152201748792436
AAPL,2023-12-13,1.602152749112122,1.602152749112122,0.8093315289829652
AAPL,2023-12-14,1.0441816845828669,1.0441816845828669,0.5270716679450188
AAPL,2023-12-15,1.4723112022047076,1.4723112022047076,0.7452098737783602
AAPL,2023-12-18,1.2453120341519082,1.2453120341519082,0.6357200663801293
AAPL,2023-12-19,0.8296642189502563,0.8296642189502563,0.42127765241452086
AAPL,2023-12-20,1.9405055310820956,1.9405055310820956,0.9959993393444557
AAPL,2023-12-21,0.25996810185779395,0.25996810185779395,0.13353611651852848
AAPL,2023-12-22,2.2273540495314137,2.2273540495314137,1.1504927579085271
AAPL,2023-12-26,0.2685510262477635,0.2685510262477635,0.13910956850685127
AAPL,2023-12-27,0.35525140954928247,0.35525140954928247,0.18392514666072096
AAPL,2023-12-28,0.942742036465603,0.942742036465603,0.4870038369399196
AAPL,2023-12-29,1.2593734973946198,1.2593734973946198,0.6541180623172801
AAPL,2024-01-02,3.0157084989241127,3.0157084989241127,1.6244928403572667
AAPL,2024-01-03,0.9401710613595355,0.9401710613595355,0.5102692327595851
