ds,trend,Worst Case,Best Case,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,Most Likely Case
2014-02-11,0.029833018639000893,-1.2287688928282794,1.6040701602201644,0.029833018639000893,0.029833018639000893,0.15846346913490117,0.15846346913490117,0.15846346913490117,0.0027657266414177584,0.0027657266414177584,0.0027657266414177584,0.15569774249348342,0.15569774249348342,0.15569774249348342,0.0,0.0,0.0,0.18829648777390207
2014-02-12,0.02982848525093075,-1.3470976169872517,1.5163998083170314,0.02982848525093075,0.02982848525093075,0.13295947253016777,0.13295947253016777,0.13295947253016777,-0.03235311788632516,-0.03235311788632516,-0.03235311788632516,0.16531259041649293,0.16531259041649293,0.16531259041649293,0.0,0.0,0.0,0.1627879577810985
2014-02-13,0.02982395186286061,-1.2612328877003356,1.516570288375374,0.02982395186286061,0.02982395186286061,0.0925407871445989,0.0925407871445989,0.0925407871445989,-0.07881830838220676,-0.07881830838220676,-0.07881830838220676,0.17135909552680567,0.17135909552680567,0.17135909552680567,0.0,0.0,0.0,0.1223647390074595
2014-02-14,0.029819418474790468,-1.2078985205071926,1.4664013099972975,0.029819418474790468,0.029819418474790468,0.06052178810384082,0.06052178810384082,0.06052178810384082,-0.11304693273854834,-0.11304693273854834,-0.11304693273854834,0.17356872084238914,0.17356872084238914,0.17356872084238914,0.0,0.0,0.0,0.09034120657863129
2014-02-18,0.029801284922509903,-1.1332692950087526,1.4639738565722225,0.029801284922509903,0.029801284922509903,0.14472231434620508,0.14472231434620508,0.14472231434620508,0.0027657266414796056,0.0027657266414796056,0.0027657266414796056,0.14195658770472547,0.14195658770472547,0.14195658770472547,0.0,0.0,0.0,0.174523599268715
2014-02-19,0.029796751534439763,-1.1317544414803136,1.459848399758815,0.029796751534439763,0.029796751534439763,0.09192662070900633,0.09192662070900633,0.09192662070900633,-0.03235311788639899,-0.03235311788639899,-0.03235311788639899,0.12427973859540531,0.12427973859540531,0.12427973859540531,0.0,0.0,0.0,0.12172337224344609
2014-02-20,0.02979221814636962,-1.2368417888809267,1.3749001364167672,0.02979221814636962,0.02979221814636962,0.02434821414792674,0.02434821414792674,0.02434821414792674,-0.07881830838230414,-0.07881830838230414,-0.07881830838230414,0.10316652253023087,0.10316652253023087,0.10316652253023087,0.0,0.0,0.0,0.05414043229429636
2014-02-21,0.029787684758299477,-1.3866030133993328,1.2030949004696407,0.029787684758299477,0.029787684758299477,-0.03403795694241204,-0.03403795694241204,-0.03403795694241204,-0.11304693273870711,-0.11304693273870711,-0.11304693273870711,0.07900897579629508,0.07900897579629508,0.07900897579629508,0.0,0.0,0.0,-0.004250272184112561
2014-02-24,0.029774084594089055,-1.3073246780604897,1.457409818840732,0.029774084594089055,0.029774084594089055,0.004553553563390792,0.004553553563390792,0.004553553563390792,0.011296017006395116,0.011296017006395116,0.011296017006395116,-0.006742463443004324,-0.006742463443004324,-0.006742463443004324,0.0,0.0,0.0,0.03432763815747985
2014-02-25,0.029769551206018912,-1.3553078813177892,1.4616006125376235,0.029769551206018912,0.029769551206018912,-0.03505441986931583,-0.03505441986931583,-0.03505441986931583,0.002765726641358888,0.002765726641358888,0.002765726641358888,-0.03782014651067472,-0.03782014651067472,-0.03782014651067472,0.0,0.0,0.0,-0.005284868663296919
2014-02-26,0.029765017817948772,-1.3826297507500012,1.28284177176991,0.029765017817948772,0.029765017817948772,-0.1014456234621957,-0.1014456234621957,-0.1014456234621957,-0.03235311788647281,-0.03235311788647281,-0.03235311788647281,-0.06909250557572288,-0.06909250557572288,-0.06909250557572288,0.0,0.0,0.0,-0.07168060564424693
2014-02-27,0.02976048442987863,-1.479106539881294,1.1878211773578413,0.02976048442987863,0.02976048442987863,-0.17872658634729013,-0.17872658634729013,-0.17872658634729013,-0.07881830838223756,-0.07881830838223756,-0.07881830838223756,-0.0999082779650526,-0.0999082779650526,-0.0999082779650526,0.0,0.0,0.0,-0.1489661019174115
2014-02-28,0.02975595104180849,-1.6156073497387513,1.0964103034143786,0.02975595104180849,0.02975595104180849,-0.2426716496091175,-0.2426716496091175,-0.2426716496091175,-0.1130469327386022,-0.1130469327386022,-0.1130469327386022,-0.1296247168705153,-0.1296247168705153,-0.1296247168705153,0.0,0.0,0.0,-0.21291569856730902
2014-03-03,0.029742350877598064,-1.4816651184042717,1.1446541655610865,0.029742350877598064,0.029742350877598064,-0.1948989021646902,-0.1948989021646902,-0.1948989021646902,0.011296017006660122,0.011296017006660122,0.011296017006660122,-0.20619491917135033,-0.20619491917135033,-0.20619491917135033,0.0,0.0,0.0,-0.1651565512870921
2014-03-04,0.029737817489527925,-1.6108234255659646,1.1077073420504588,0.029737817489527925,0.029737817489527925,-0.22301044299522008,-0.22301044299522008,-0.22301044299522008,0.0027657266415474276,0.0027657266415474276,0.0027657266415474276,-0.2257761696367675,-0.2257761696367675,-0.2257761696367675,0.0,0.0,0.0,-0.19327262550569216
2014-03-05,0.029733284101457782,-1.6571833937150806,1.133824402117343,0.029733284101457782,0.029733284101457782,-0.2740298062878833,-0.2740298062878833,-0.2740298062878833,-0.032353117886295385,-0.032353117886295385,-0.032353117886295385,-0.24167668840158796,-0.24167668840158796,-0.24167668840158796,0.0,0.0,0.0,-0.24429652218642553
2014-03-06,0.029728750713387642,-1.5489840624578528,1.0233618087602274,0.029728750713387642,0.029728750713387642,-0.3324084231458755,-0.3324084231458755,-0.3324084231458755,-0.07881830838223695,-0.07881830838223695,-0.07881830838223695,-0.2535901147636385,-0.2535901147636385,-0.2535901147636385,0.0,0.0,0.0,-0.30267967243248783
