Stock,ds,daily_mae,daily_rmse,daily_mape
AAPL,2023-10-09,4.453111876072853,4.453111876072853,2.4879109108932482
AAPL,2023-10-10,3.2216392709010506,3.2216392709010506,1.805952845968783
AAPL,2023-10-11,3.6825742404289485,3.6825742404289485,2.048150265808878
AAPL,2023-10-12,3.383735249452002,3.383735249452002,1.8724670044474871
AAPL,2023-10-13,0.3998481651183283,0.3998481651183283,0.2235662015504223
AAPL,2023-10-16,0.19783174887288624,0.19783174887288624,0.11069368146913888
AAPL,2023-10-17,2.446416806009438,2.446416806009438,1.3809861079865318
AAPL,2023-10-18,4.1247349718728685,4.1247349718728685,2.3457319482348375
AAPL,2023-10-19,4.257854599419261,4.257854599419261,2.426680973723426
AAPL,2023-10-20,6.220509357384344,6.220509357384344,3.5981658848291596
AAPL,2023-10-23,4.693969091652434,4.693969091652434,2.7132769315910026
AAPL,2023-10-24,3.0187453671164803,3.0187453671164803,1.7405127563557963
AAPL,2023-10-25,4.330972772667792,4.330972772667792,2.5312522607670456
AAPL,2023-10-26,7.338131382571646,7.338131382571646,4.396986883221717
AAPL,2023-10-27,4.099954781775978,4.099954781775978,2.4372576102867067
AAPL,2023-10-30,0.22225327896373415,0.22225327896373415,0.13051458554601564
AAPL,2023-10-31,1.1662107157353319,1.1662107157353319,0.6829130916192171
AAPL,2023-11-01,4.720818354030598,4.720818354030598,2.7135818364694027
AAPL,2023-11-02,7.788612180213477,7.788612180213477,4.386220565949816
AAPL,2023-11-03,5.194498927780387,5.194498927780387,2.9405599248558856
AAPL,2023-11-06,5.88985982220629,5.88985982220629,3.28620206584165
AAPL,2023-11-07,6.353170065890481,6.353170065890481,3.494208453397322
AAPL,2023-11-08,5.114415557247412,5.114415557247412,2.796443531256793
AAPL,2023-11-09,2.4611430954091986,2.4611430954091986,1.3492369091599512
AAPL,2023-11-10,4.535208339919791,4.535208339919791,2.4330517641746168
AAPL,2023-11-13,1.203511621763937,1.203511621763937,0.6512508668232347
AAPL,2023-11-14,2.7374905591987044,2.7374905591987044,1.4604622938235632
AAPL,2023-11-15,2.1604456898617173,2.1604456898617173,1.1491121498773114
AAPL,2023-11-16,2.282628091467359,2.282628091467359,1.2032196566785036
AAPL,2023-11-17,0.829007356326656,0.829007356326656,0.4370327089761781
AAPL,2023-11-20,1.4995666206227725,1.4995666206227725,0.7832680305699743
AAPL,2023-11-21,0.19262729840286852,0.19262729840286852,0.10104243549075884
AAPL,2023-11-22,0.06143367757931628,0.06143367757931628,0.032112110377556506
AAPL,2023-11-24,1.4026489558564492,1.4026489558564492,0.7383528698443717
AAPL,2023-11-27,1.4750251094437772,1.4750251094437772,0.777188029729253
AAPL,2023-11-28,0.4919509462606584,0.4919509462606584,0.25837760610860083
AAPL,2023-11-29,1.0755562150661717,1.0755562150661717,0.5679654870353602
AAPL,2023-11-30,0.15108146360853425,0.15108146360853425,0.07953749199043215
AAPL,2023-12-01,1.7671438166785265,1.7671438166785265,0.9240450564312986
AAPL,2023-12-04,0.2334988824818538,0.2334988824818538,0.12326394526208878
AAPL,2023-12-05,4.373821180107825,4.373821180107825,2.2613076318444856
AAPL,2023-12-06,2.9545900990560767,2.9545900990560767,1.5362884705360589
AAPL,2023-12-07,4.58989935736372,4.58989935736372,2.3626392425083034
AAPL,2023-12-08,5.497541400310638,5.497541400310638,2.8090241743991036
AAPL,2023-12-11,2.0695735278263783,2.0695735278263783,1.0713187733161345
AAPL,2023-12-12,3.3463222219697855,3.3463222219697855,1.718618512959797
AAPL,2023-12-13,6.162336034081818,6.162336034081818,3.112919693415096
AAPL,2023-12-14,5.415848594426279,5.415848594426279,2.7337583048512153
AAPL,2023-12-15,3.554741197759057,3.554741197759057,1.7992311919721764
AAPL,2023-12-18,0.7145484001857767,0.7145484001857767,0.3647702294206736
AAPL,2023-12-19,1.287061217876726,1.287061217876726,0.6535296039003826
AAPL,2023-12-20,1.2594610655296492,1.2594610655296492,0.6464410274048968
AAPL,2023-12-21,1.28713523975469,1.28713523975469,0.6611543497940626
AAPL,2023-12-22,1.937404997780959,1.937404997780959,1.000725690444995
AAPL,2023-12-26,2.092848220344848,2.092848220344848,1.0840964450975654
AAPL,2023-12-27,1.1110705265364231,1.1110705265364231,0.5752371533244176
AAPL,2023-12-28,0.09369262099517073,0.09369262099517073,0.04839994839804794
AAPL,2023-12-29,0.610978040988357,0.610978040988357,0.31734173628118084
AAPL,2024-01-02,6.788728280443138,6.788728280443138,3.6569318588468422
AAPL,2024-01-03,6.854503015898899,6.854503015898899,3.720218733188005
AAPL,2024-01-04,7.329593379026392,7.329593379026392,4.029241510346413
AAPL,2024-01-05,5.555080870469283,5.555080870469283,3.066056460444842
AAPL,2024-01-08,1.0146814002268911,1.0146814002268911,0.5468211972283994
AAPL,2024-01-09,1.2397812330873137,1.2397812330873137,0.6696452615180427
AAPL,2024-01-10,2.0700117415258603,2.0700117415258603,1.1117738409060336
AAPL,2024-01-11,0.8482584961602697,0.8482584961602697,0.45706046279342843
AAPL,2024-01-12,0.43781588492538503,0.43781588492538503,0.235486171061352
AAPL,2024-01-16,2.512318410369062,2.512318410369062,1.3681415583321217
AAPL,2024-01-17,3.6825213850770524,3.6825213850770524,2.0158318002632925
AAPL,2024-01-18,2.5184167233973938,2.5184167233973938,1.3351092923747605
AAPL,2024-01-19,4.969633996513494,4.969633996513494,2.5942963352739645
AAPL,2024-01-22,6.209141954623647,6.209141954623647,3.2024044428127145
AAPL,2024-01-23,5.921205235745219,5.921205235745219,3.033715266902942
