horizon,mse,rmse,mae,mape,mdape,smape,coverage
51 days,105.3449632505558,10.263769446482895,6.909840386028699,1.165854530374921,0.9951965739938351,1.7485820734877826,0.521044719446046
52 days,105.64561828080883,10.278405434735918,6.92426915982157,1.167117112131093,0.9950380373787107,1.7492715144524902,0.5206574966082388
53 days,105.9468340369203,10.29304784973432,6.938532346871251,1.1682610026903233,0.9950220383576159,1.749868972532783,0.520065654344433
54 days,106.25339193359208,10.307928595677799,6.9528652463885185,1.1693786921818188,0.994987336728981,1.7502927287899137,0.5191329523785843
55 days,106.55803695732668,10.322695237065108,6.9671164576210955,1.1701012907854624,0.9949982696189545,1.7506959287698145,0.5182313599980036
56 days,106.8569110200697,10.337161652023717,6.981511742122797,1.1709708558561092,0.9949458270662694,1.7512100371960237,0.5171601507976884
57 days,107.15219571960388,10.351434476419385,6.995824048261208,1.1722130804043736,0.9948552080527691,1.751791009295443,0.5163352819213869
58 days,107.45813100498644,10.366201377794397,7.01090461366448,1.1728179110190773,0.9950220383576159,1.7523104688486935,0.5153917840379235
59 days,107.77066745828881,10.38126521471679,7.0267704321500375,1.1732553570345603,0.9950669110308816,1.7529592871001858,0.5144575280004848
60 days,108.07773388572568,10.396044146006965,7.042117150505701,1.1736043213440261,0.9950957846830527,1.7535610696877106,0.5133585403745209
61 days,108.37113326364192,10.41014568887688,7.056806403625702,1.1742011904961187,0.9952986844402725,1.7541199968781596,0.512228989340623
62 days,108.65546401597084,10.423793168322693,7.071073310251055,1.1746764104770913,0.9952813913802987,1.7545637130520477,0.5114825282150144
63 days,108.92653648814746,10.436787651770418,7.08480649722041,1.175090752219939,0.9952986844402725,1.755030866773292,0.5107715988990204
64 days,109.18855989483305,10.449332988034836,7.097943846962946,1.1753202423408322,0.9952216332992655,1.7553999844170582,0.5100761966555823
65 days,109.45783237025174,10.462209726929188,7.111389908613584,1.175480082300799,0.9950669110308816,1.7557005741606426,0.5093117379545207
66 days,109.72857197449582,10.47514066609589,7.1244546695251945,1.1754681442386157,0.9950220383576159,1.7559543927555834,0.5087491780144546
67 days,110.00063965916785,10.488118976211505,7.137848690845075,1.1753636731667394,0.9950220383576159,1.7562436019968493,0.5079973902926733
68 days,110.27185049200189,10.501040448069986,7.15077315143196,1.1752741299860214,0.9948552080527691,1.7565065689475805,0.5073186392771276
69 days,110.54396136438059,10.513988841747008,7.163763262151082,1.175254112780613,0.994986770412056,1.7568015888058708,0.5065066387348199
70 days,110.80123127869618,10.526216380005504,7.17605800871786,1.1751709485010329,0.9949458270662694,1.7570509153946077,0.5057802566646078
71 days,111.04778763202015,10.53792140946307,7.187581812800423,1.1750944758782331,0.9947238777757565,1.7571631925250195,0.5053027512765403
72 days,111.30448598653363,10.550094122164676,7.199472813637213,1.1751693012404814,0.9947821586185661,1.757343445180801,0.5048124221242893
73 days,111.56118741178175,10.562252951514736,7.211405693190166,1.1748337982927464,0.9944467739210363,1.7575869891896778,0.5042567753803845
74 days,111.81509779366668,10.574265827643387,7.222957350335646,1.1745191798263124,0.9944121770557605,1.757836770134487,0.5037586805286722
75 days,112.07597203203173,10.586593976913997,7.234840271413305,1.1741509849146625,0.9944467739210363,1.7580112554341083,0.5033119436435355
76 days,112.33794874314171,10.59895979533566,7.246799559985459,1.173502176471938,0.9938654543217381,1.7580438984282267,0.5028952353719126
77 days,112.58651635365287,10.610679354011829,7.258264196219623,1.1728296544318861,0.9937048979742286,1.758070197158804,0.5024549713950601
78 days,112.82823450090362,10.62206357074291,7.269220632807567,1.1722902736142315,0.9939982142642578,1.7579930850198529,0.5020138177685293
79 days,113.08598236852319,10.634189314119022,7.2811685101730665,1.1717950803958335,0.9934887900511686,1.7579363848731637,0.5014664118898596
80 days,113.3426946145112,10.646252608993983,7.293223091105819,1.171115182505781,0.9932768862512287,1.7579839808122544,0.5007143660878444
81 days,113.59064099536772,10.65789102005494,7.304717558372344,1.1704710104010938,0.9930772758811468,1.7580271910901595,0.4998694114015718
82 days,113.84273692962634,10.669711192418768,7.316303325850232,1.16979203409057,0.9929656084534145,1.7580947776171223,0.49920408055819654
83 days,114.09618779359026,10.681581708417076,7.32786852962044,1.1690320863182557,0.9925348625370243,1.7580749846121693,0.4984723476271658
84 days,114.34341707176414,10.693148136623009,7.3394077376586715,1.1682936887303534,0.9920653626940973,1.7580568708949869,0.49772179486379636
85 days,114.57662097210857,10.704046943661476,7.350267268374139,1.1674133325382603,0.9918210203092528,1.7580604394134292,0.49708689280480395
86 days,114.8184897167147,10.715338992151144,7.3616552269986855,1.1665713459009355,0.9915838884680416,1.758006240956714,0.49625138460045565
87 days,115.03717445185842,10.725538422468983,7.37225772163693,1.165787060435016,0.9915838884680416,1.757905267759301,0.4955744401465482
88 days,115.25020310004533,10.735464736099939,7.38292135608708,1.1648578512283643,0.9914209871125681,1.7578244691591096,0.4947725848593617
89 days,115.46061393248056,10.745260068164034,7.393523784603444,1.163903585203699,0.9912011756301267,1.7577592571956935,0.493791363809512
90 days,115.67296151738921,10.755136517840636,7.404244324370003,1.1629179557772762,0.9911272977537875,1.7577381604540647,0.4925391613090049
91 days,115.87031137116735,10.76430728710247,7.41457116488799,1.1619577769063414,0.9908702527838659,1.7577003112363976,0.4913319545565143
92 days,116.06798309255161,10.77348518783739,7.425011103678899,1.1609473711448768,0.990708089750133,1.7576100429692736,0.4904344303524686
