Date,AAPL,ABBV,ADBE,AMZN,AVGO,BRK-B,COST,CRM,CVX,GOOG,GOOGL,HD,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2014-02-11,16.860063552856445,32.610191345214844,63.970001220703125,18.089500427246094,43.9736442565918,113.61000061035156,92.5122299194336,61.15011978149414,73.84222412109375,29.643388748168945,29.784284591674805,60.53955459594727,70.28330993652344,43.20513916015625,43.81705093383789,71.52580261230469,64.78126525878906,38.80924987792969,31.24147224426269,3.8325283527374254,59.206329345703125,13.107999801635742,60.37178039550781,51.734153747558594,58.95487976074219
2014-02-12,16.858810424804688,33.20118713378906,65.13999938964844,17.462499618530273,44.632442474365234,113.3000030517578,92.61708068847656,61.39979553222656,73.4814682006836,29.55646514892578,29.69694709777832,60.997337341308594,69.86750793457031,43.2728385925293,43.2492561340332,71.31924438476562,64.38168334960938,38.32151794433594,31.493614196777344,3.969318389892578,58.19252014160156,13.021332740783691,60.046913146972656,52.25631713867188,59.11064147949219
2014-02-13,17.126516342163086,33.06328582763672,67.04000091552734,17.860000610351562,44.73846435546875,114.6999969482422,93.42376708984376,63.047645568847656,73.79630279541016,29.885482788085938,30.027528762817383,61.24202728271485,69.97333526611328,43.65650939941406,43.37904739379883,71.84497833251953,67.25863647460938,38.39119338989258,31.611289978027344,4.094319343566895,58.42533874511719,13.308667182922363,60.87615585327149,52.22834777832031,59.33779525756836
2014-02-14,17.112672805786133,33.312828063964844,68.33999633789062,17.86750030517578,43.9812126159668,114.9499969482422,93.65771484375,62.71807098388672,74.43255615234375,29.95771026611328,30.10009956359864,61.51040267944336,70.12454223632812,43.74679183959961,43.96304321289063,72.65235900878906,67.01889038085938,38.62810897827149,31.61968421936035,4.224034309387207,59.62689208984375,13.215332984924316,62.8509407043457,52.68290328979492,61.07711410522461
2014-02-18,17.175586700439453,33.79219055175781,68.66000366210938,17.6825008392334,44.200809478759766,114.7300033569336,93.06073760986328,63.64685821533203,73.92749786376953,30.15895652770996,30.30230140686035,61.22624206542969,69.67851257324219,44.00257110595703,44.81473922729492,72.74623107910156,67.22867584228516,38.802284240722656,31.687429428100582,4.221676349639893,58.553016662597656,13.579999923706056,63.11593246459961,52.69688415527344,61.0511360168457
2014-02-19,16.9044189453125,33.61488723754883,67.98999786376953,17.368999481201172,43.69344329833984,113.36000061035156,92.69776153564452,62.93778610229492,74.51123809814453,29.94625473022461,30.08858871459961,60.34220123291016,69.27786254882812,43.07722854614258,47.11833190917969,71.95765686035156,67.98786163330078,38.34939193725586,31.76363182067871,4.278281211853027,58.680660247802734,12.90933322906494,62.87657165527344,52.18871688842773,60.97324752807617
2014-02-20,16.70875358581543,34.05486297607422,68.4800033569336,17.489999771118164,44.67787170410156,113.0999984741211,92.81876373291016,62.92779922485352,75.16715240478516,29.990339279174805,30.13288307189941,61.15519332885742,69.8372573852539,43.3179817199707,47.08588790893555,71.21601867675781,69.55619812011719,38.88589859008789,31.96687698364257,4.429222583770752,58.51542663574219,13.998000144958496,62.81674575805664,52.09080123901367,61.89482879638672
2014-02-21,16.523157119750977,33.516387939453125,68.22000122070312,17.33799934387207,44.33712005615234,113.18000030517578,91.31024169921876,63.50704193115234,73.90782928466797,29.98236846923828,30.124874114990234,61.36040496826172,69.68498992919922,43.34055709838867,47.012882232666016,71.06582641601562,68.51729583740234,39.0391845703125,32.161659240722656,4.396203994750977,58.553016662597656,13.973333358764648,63.098854064941406,52.0675048828125,61.67418670654297
2014-02-24,16.595497131347656,33.39162826538086,68.7699966430664,17.589000701904297,45.109519958496094,113.1999969482422,91.91527557373048,63.82662582397461,74.87200164794922,30.19955444335937,30.343093872070312,61.4630241394043,69.37283325195312,43.65650939941406,47.06966781616211,71.30989837646484,70.7049789428711,39.14370346069336,31.91607093811035,4.459882736206055,58.47038650512695,14.510000228881836,64.97957611083984,52.72720718383789,62.58927154541016
2014-02-25,16.422801971435547,33.30626678466797,68.01000213623047,17.916000366210938,44.67787170410156,113.94000244140624,93.14144134521484,63.57695007324219,75.40986633300781,30.386104583740234,30.53053092956543,63.91777420043945,69.37283325195312,42.90420150756836,47.434669494628906,72.0421142578125,69.77596282958984,38.95556640625,31.78906440734864,4.439744472503662,58.66564178466797,16.53333282470703,64.38973236083984,52.94166946411133,62.5048942565918
2014-02-26,16.274642944335938,33.31938934326172,67.81999969482422,17.989999771118164,46.87392807006836,113.6999969482422,93.48023986816406,63.6568489074707,75.7640380859375,30.39034080505371,30.5347843170166,64.4860610961914,69.37283325195312,42.69356155395508,47.58067321777344,72.62419891357422,69.18659210205078,39.2064094543457,31.72977066040039,4.432638168334961,58.47038650512695,16.866666793823242,65.0223159790039,52.70854187011719,62.16743087768555
2014-02-27,16.59927749633789,33.431034088134766,69.91999816894531,18.006500244140625,46.48013687133789,114.58000183105467,93.7545394897461,66.13361358642578,75.8821029663086,30.36642837524414,30.510761260986328,64.69915771484375,69.56314849853516,42.64841842651367,48.294464111328125,72.99967956542969,68.86693572998047,39.47813034057617,32.06004333496094,4.3828864097595215,58.71821975708008,16.836000442504883,64.98814392089844,52.74818420410156,62.19987869262695
2014-02-28,16.554296493530273,33.431034088134766,68.62999725341797,18.104999542236328,46.72246551513672,115.77999877929688,94.22242736816406,62.28863143920898,75.64600372314453,30.277761459350582,30.42167282104492,64.74652862548828,70.1418228149414,42.74622344970703,48.35124206542969,72.96215057373047,68.38743591308594,39.70806121826172,32.44109344482422,4.354455947875977,59.07114410400391,16.320667266845703,66.05674743652344,52.66891479492188,62.47893142700195
